Type,Id,Summary,Company,Product,First Approved (year),Week,Subsequent Approvals,Latency,Rejections (before first approval),Approved 1st time,Quarter,Rework Week,Rework Quarter,Rework Year,Adj Week,Adj Quarter,Adj Year
Playbook,CENPRO-17817,"Prod2 Playbook - DevFactory: Central Process: Milestone - WU - 17817",DevFactory,DevFactory,2021,31,0,161,0,Y,3,,,,31,3,2021
Rebuild,CENPRO-17845,"Prod2 Rebuild - CNU: Other: Topbox - 17845",DevFactory,CNU,2021,27,0,132,0,Y,3,,,,27,3,2021
Change,CENPRO-17924,"Prod2 Change - CTS: SalesBUILDER: Improve SalesBuilder auto-save capabilities for offers - 17924",Ignite,CTS,2021,27,0,129,0,Y,3,,,,27,3,2021
Technical Teardown,CENPRO-17943,"Prod2 Technical Teardown - DevFactory: Other: AWS Schema Conversion Tool (SCT) - 17943",DevFactory,DevFactory,2021,37,0,200,0,Y,3,,,,37,3,2021
Technical Teardown,CENPRO-17944,"Prod2 Technical Teardown - DevFactory: Other: AWS Data Migration Service (DMS) - 17944",DevFactory,DevFactory,2021,24,0,108,0,Y,2,,,,24,2,2021
Technical Teardown,CENPRO-18027,"Prod2 Technical Teardown - DevFactory: Other: Honeycomb.io - 18027",DevFactory,DevFactory,2021,23,0,98,0,Y,2,,,,23,2,2021
Rebuild,CENPRO-18045,"Prod2 Rebuild - Jive: Jive Daily: Jive Daily Rewrite - 18045",Aurea Jive,Jive,2021,10,0,8,0,Y,1,,,,10,1,2021
New,CENPRO-18113,"Prod2 New - DevGraph: ScaleArc: Base image for ScaleArc to offer on AWS, Azure, Google Marketplaces - 18113",DevFactory,DevGraph,2021,28,0,132,0,Y,3,,,,28,3,2021
Cost Optimization,CENPRO-18117,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - Service Control Policy to enforce active SSM agent in new EC2 instances - 18117",DevFactory,DevFactory,2021,18,0,60,0,Y,2,,,,18,2,2021
Cost Optimization,CENPRO-18118,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - Move EBS volumes to EFS when applicable - 18118",DevFactory,DevFactory,2021,36,0,186,0,Y,3,,,,36,3,2021
Technical Teardown,CENPRO-18246,"Prod2 Technical Teardown - Other: Other: Premium (Citibank) - 18246",Other,Other,2021,12,0,13,0,Y,1,,,,12,1,2021
Technical Teardown,CENPRO-18262,"Prod2 Technical Teardown - DevFactory: Other: Datadog - 18262",DevFactory,DevFactory,2021,34,0,168,0,Y,3,,,,34,3,2021
New,CENPRO-18340,"Prod2 New - DevFactory: CloudCFO: CRI optimization engine - 18340",DevFactory,DevFactory,2021,13,1,18,0,Y,1,30,3,2021,30,3,2021
Change,CENPRO-18488,"Prod2 Change - CNU: DevFlows: Flow control, retries and error handling - 18488",DevFactory,CNU,2021,14,0,19,0,Y,2,,,,14,2,2021
Change,CENPRO-18498,"Prod2 Change - Jive: Jive Cloud: DevFlows Adapter - 18498",Aurea Jive,Jive,2021,23,0,82,0,Y,2,,,,23,2,2021
Playbook,CENPRO-18501,"Prod2 Playbook - DevFactory: Central Process: EC2 - Instance level triage - WU - 18501",DevFactory,DevFactory,2021,11,0,1,0,Y,1,,,,11,1,2021
