Type,Id,Summary,Company,Product,First Approved (year),Week,Subsequent Approvals,Latency,Rejections (before first approval),Approved 1st time,Quarter,Rework Week,Rework Quarter,Rework Year,Adj Week,Adj Quarter,Adj Year
WU Design,CENPRO-27084,"Prod2 WU Design - DevFactory: Central Process: Engineering - SVP QC of SCRs - 27084",DevFactory,DevFactory,2022,17,0,32,0,Y,2,,,,17,2,2022
Code Level Cost Reduction,CENPRO-27216,"Prod2 Code Level Cost Reduction - SaaS Central: SaaS Central: Retype SQL Server Instances  - 27216",DevFactory,SaaS Central,2022,23,1,35,1,N,2,,,,23,2,2022
Functional Spec,CENPRO-27329,"Prod2 Functional Spec - Kayako: Kayako TNK: SEM and B/G for TNK - 27329",Think3,Kayako,2022,28,0,59,0,Y,3,,,,28,3,2022
Functional Spec,CENPRO-27330,"Prod2 Functional Spec - Kayako: Kayako TNK: Containerize Infrastructure - 27330",Think3,Kayako,2022,25,1,38,0,Y,2,,,,25,2,2022
WU Design,CENPRO-27205,"Prod2 WU Design - Central Engg: Central Process: E2 Milestone Design  - 27205",DevFactory,Central Engg,2022,18,2,7,0,Y,2,,,,18,2,2022
Rebuild,CENPRO-26522,"Prod2 Rebuild - InsideSales: Playbooks Telephony: Inbound call handling - 26522",Aurea Enterprise,InsideSales,2022,10,1,94,0,Y,1,30,3,2022,30,3,2022
Cost Optimization,CENPRO-27094,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - IO1/IO2 to GP3 - 27094",DevFactory,DevFactory,2022,18,0,38,0,Y,2,,,,18,2,2022
Change,CENPRO-15931,"Prod2 Change - Olive Software: Olive-DigitalEdition: New eEdition Access Controls - 15931",Ignite,Olive Software,2021,5,2,36,0,Y,1,20,2,2022,20,2,2022
Code Level Cost Reduction,CENPRO-26617,"Prod2 Code Level Cost Reduction - StreetSmart: StreetSmart: Reduce Google Maps Cost - 26617",Avolin,StreetSmart,2022,9,2,56,0,Y,1,27,3,2022,27,3,2022
Change,CENPRO-24648,"Prod2 Change - Northplains: Xinet: Xinet Scalability - 24648",Ignite,Northplains,2021,45,1,74,0,Y,4,14,2,2022,14,2,2022
New,CENPRO-26695,"Prod2 New - Crossover: XO.HireManage: Language : Skills & Badges - 26695",Crossover,Crossover,2022,30,0,196,3,N,3,,,,30,3,2022
WU Design,CENPRO-27226,"Prod2 WU Design - DevFactory: Central Process: CloudFix FF - Build Runbook Templates - 27226",DevFactory,DevFactory,2022,30,0,85,0,Y,3,,,,30,3,2022
WU Design,CENPRO-27215,"Prod2 WU Design - DevFactory: Central Process: Milestone Implementation - 27215",DevFactory,DevFactory,2022,30,0,87,0,Y,3,,,,30,3,2022
WU Design,CENPRO-27227,"Prod2 WU Design - DevFactory: Central Process: CloudFix FF - Build Runbook Methods - 27227",DevFactory,DevFactory,2022,30,0,85,0,Y,3,,,,30,3,2022
WU Design,CENPRO-27511,"Prod2 WU Design - DevFactory: Central Process: FS - API Testing - 27511",DevFactory,DevFactory,2022,26,1,9,0,Y,2,,,,26,2,2022
New,CENPRO-27476,"Prod2 New - DevFactory: Central Process: TPM Internal Tools Development - 27476",DevFactory,DevFactory,2022,30,0,43,0,Y,3,,,,30,3,2022
WU Design,CENPRO-27224,"Prod2 WU Design - DevFactory: Central Process: CloudFix FF - Build CUR Query - 27224",DevFactory,DevFactory,2022,30,0,85,0,Y,3,,,,30,3,2022
Code Level Cost Reduction,CENPRO-26484,"Prod2 Code Level Cost Reduction - SaaS Central: SaaS Central: SaaS Cost - Google Workspace - 26484",DevFactory,SaaS Central,2022,4,2,70,0,Y,1,22,2,2022,22,2,2022
Rebuild,CENPRO-23124,"Prod2 Rebuild - Crossover: XO.HireManage: 5K for Online Proctoring - 23124",DevFactory,Crossover,2022,6,1,199,0,Y,1,,,,6,1,2022
Cost Reduction,CENPRO-27405,"Prod2 Cost Reduction - AES: Other: AES - 27405",Aurea Enterprise,AES,2022,27,0,34,0,Y,3,,,,27,3,2022
Cost Optimization,CENPRO-27039,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - CloudFront Turn on Compression - 27039",DevFactory,DevFactory,2022,14,0,20,0,Y,2,,,,14,2,2022
Technical Teardown,CENPRO-27138,"Prod2 Technical Teardown - Crossover: Other: Crossover Operations - 27138",Crossover,Crossover,2022,29,0,101,1,N,3,,,,29,3,2022
Change,CENPRO-15751,"Prod2 Change - Kerio: Control: VPN client macOS System Extensions - 15751",Aurea SMB,Kerio,2021,2,1,20,0,Y,1,16,2,2022,16,2,2022
Code Level Cost Reduction,CENPRO-27380,"Prod2 Code Level Cost Reduction - SaaS Central: SaaS Central: Consolidate Agemni self-hosted databases to Central - 27380",DevFactory,SaaS Central,2022,27,0,41,0,Y,3,,,,27,3,2022
Technical Teardown,CENPRO-27201,"Prod2 Technical Teardown - DevFactory: Education Platform: Subject - 27201",DevFactory,DevFactory,2022,29,0,86,1,N,3,,,,29,3,2022
Technical Teardown,CENPRO-27562,"Prod2 Technical Teardown - DevFactory: Education Platform: Accelerated Reader - 27562",DevFactory,DevFactory,2022,29,0,24,0,Y,3,,,,29,3,2022
New,CENPRO-27024,"Prod2 New - DF 3rd Party: Cloud Charging and Billing: Tenant Management and Operations - Wave 1 - 27024",DevFactory,DF 3rd Party,2022,21,3,78,0,Y,2,,,,21,2,2022
Code Level Cost Reduction,CENPRO-27384,"Prod2 Code Level Cost Reduction - SaaS Central: SaaS Central: Consolidate remaining self-hosted databases to Central - 27384",DevFactory,SaaS Central,2022,27,0,41,0,Y,3,,,,27,3,2022
Code Level Cost Reduction,CENPRO-26483,"Prod2 Code Level Cost Reduction - Central Engg: Central Process: AWS Cost Controls - 26483",DevFactory,Central Engg,2021,47,1,10,0,Y,4,28,3,2022,28,3,2022
Cost Optimization,CENPRO-27097,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - Non-ASG Intel to AMD - 27097",DevFactory,DevFactory,2022,17,0,30,0,Y,2,,,,17,2,2022
New,CENPRO-13298,"Prod2 New - Mobilogy: Mobilogy: Telco Branded iCloud - 13298",ZephyrTel,Mobilogy,2021,1,0,95,0,Y,1,,,,1,1,2021
New,CENPRO-11005,"Prod2 New - ZephyrTel: Other: SMSF MVP - 11005",ZephyrTel,ZephyrTel,2020,25,1,7,0,Y,2,20,2,2022,20,2,2022
Functional Spec,CENPRO-27333,"Prod2 Functional Spec - DF 3rd Party: Cloud Charging and Billing: Simplify Charging Flow - 27333",DevFactory,DF 3rd Party,2022,29,0,63,0,Y,3,,,,29,3,2022
Technical Teardown,CENPRO-27621,"Prod2 Technical Teardown - Imports: Other: Noetica Platform - 27621",Imports,Imports,2022,29,0,9,0,Y,3,,,,29,3,2022
Rebuild,CENPRO-27041,"Prod2 Rebuild - CNU: CloudFix: CloudFix Onboarding - 27041",DevFactory,CNU,2022,20,1,62,0,Y,2,,,,20,2,2022
Cost Optimization,CENPRO-27037,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - EFS Infrequent Access - 27037",DevFactory,DevFactory,2022,12,0,8,0,Y,1,,,,12,1,2022
Change,CENPRO-982,"Prod2 Change - DNN: Liquid Content: Migrate to DNN Platform and deploy locally [774] - 982",Ignite,DNN,2019,31,1,226,0,Y,3,39,3,2020,39,3,2020
Cost Reduction,CENPRO-9227,"Prod2 Cost Reduction - DNN: DNN: DNN Cost Reduction - 9227",Ignite,DNN,2020,37,1,187,0,Y,3,52,4,2020,52,4,2020
Change,CENPRO-3968,"Prod2 Change - DNN: Evoq Basic, Evoq Content, Evoq Engage: Make DNN the Wordpress clone  - 3968",Ignite,DNN,2019,28,0,84,0,Y,3,,,,28,3,2019
Rebuild,CENPRO-11171,"Prod2 Rebuild - DNN: DNN: .net Core Rebuild - 11171",Ignite,DNN,2020,41,1,108,0,Y,4,,,,41,4,2020
Change,CENPRO-4448,"Prod2 Change - DNN: Evoq Basic, Evoq Content, Evoq Engage: Import Wordpress themes and plugins in DNN - 4448",Ignite,DNN,2019,28,0,56,0,Y,3,,,,28,3,2019
Functional Spec,CENPRO-27251,"Prod2 Functional Spec - Ignite: BryterCX: Replace Self-Hosted Greenplum DBs. - 27251",Ignite,Ignite,2022,28,0,63,0,Y,3,,,,28,3,2022
Code Level Cost Reduction,CENPRO-16453,"Prod2 Code Level Cost Reduction - SLI Systems: SLI Systems: FF 6 - Move APE Hadoop off of VMC - 16453",Avolin,SLI Systems,2021,35,0,227,0,Y,3,,,,35,3,2021
Change,CENPRO-27168,"Prod2 Change - Sococo: Sococo: Directory Service - additional privacy controls - 27168",Crossover,Sococo,2022,17,0,8,0,Y,2,,,,17,2,2022
Change,CENPRO-10001,"Prod2 Change - Sococo: Sococo: New Customer Onboarding - 10001",Crossover,Sococo,2020,19,2,20,0,Y,2,,,,19,2,2020
Code Level Cost Reduction,CENPRO-24859,"Prod2 Code Level Cost Reduction - SLI Systems: SLI Systems: Migrate reports from Merlin to APE - 24859",Avolin,SLI Systems,2021,36,1,5,0,Y,3,5,1,2022,5,1,2022
Cost Reduction,CENPRO-16412,"Prod2 Cost Reduction - SaaS Central: SaaS Central: SaaS Licenses - SalesForce - 16412",DevFactory,SaaS Central,2021,46,0,302,1,N,4,,,,46,4,2021
Code Level Cost Reduction,CENPRO-27124,"Prod2 Code Level Cost Reduction - ALSS: NextDocs: CLCR for NextDocs - 27124",Aurea Enterprise,ALSS,2022,22,0,52,0,Y,2,,,,22,2,2022
Functional Spec,CENPRO-27341,"Prod2 Functional Spec - Jive: Other: Introduce Support for Custom widgets and other configurations (tiles, Addons) on Overview Pages - 27341",Aurea Jive,Jive,2022,23,0,24,0,Y,2,,,,23,2,2022
Code Level Cost Reduction,CENPRO-24544,"Prod2 Code Level Cost Reduction - Jive: Jive R2E2: Replace Amza with DynamoDB - 24544",Aurea Jive,Jive,2021,40,0,36,0,Y,4,,,,40,4,2021
Change,CENPRO-26177,"Prod2 Change - InsideSales: Other: Replace DOMO for Call Quality Dashboards - 26177",Aurea Enterprise,InsideSales,2022,17,2,191,2,N,2,,,,17,2,2022
WU Design,CENPRO-26692,"Prod2 WU Design - DevFactory: Central Process: CR - Fake HA and Sprawl - 26692",DevFactory,DevFactory,2022,6,0,27,1,N,1,,,,6,1,2022
Change,CENPRO-25399,"Prod2 Change - Olive Software: Olive-DigitalEdition: eEdition Access Controls for Subscribers - 25399",Ignite,Olive Software,2021,42,1,28,0,Y,4,21,2,2022,21,2,2022
WU Design,CENPRO-25115,"Prod2 WU Design - DevFactory: Central Process: TT Technical Architecture - 25115",DevFactory,DevFactory,2022,5,2,146,0,Y,1,,,,5,1,2022
Technical Teardown,CENPRO-27253,"Prod2 Technical Teardown - DevFactory: DevSpaces: DevSpaces - 27253",DevFactory,DevFactory,2022,27,0,68,0,Y,3,,,,27,3,2022
Rebuild,CENPRO-27350,"Prod2 Rebuild - DevFactory: Education Platform: Rebuild Quiz App - 27350",DevFactory,DevFactory,2022,28,0,54,2,N,3,,,,28,3,2022
Change,CENPRO-26760,"Prod2 Change - Sococo: Sococo: On Demand Adapter Framework - 26760",Crossover,Sococo,2022,6,0,15,0,Y,1,,,,6,1,2022
Cost Optimization,CENPRO-27095,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - ElasticSearch to Graviton - 27095",DevFactory,DevFactory,2022,17,0,30,0,Y,2,,,,17,2,2022
Functional Spec,CENPRO-27488,"Prod2 Functional Spec - DevFactory: Upland: Upland Cimpl Rebuild - 27488",DevFactory,DevFactory,2022,28,0,26,0,Y,3,,,,28,3,2022
Functional Spec,CENPRO-27489,"Prod2 Functional Spec - DevFactory: Upland: Upland Cimpl 5k - 27489",DevFactory,DevFactory,2022,28,0,26,0,Y,3,,,,28,3,2022
Rebuild,CENPRO-27074,"Prod2 Rebuild - TPM: TPM: P2 CloudFix Finder/Fixers Process - 27074",DevFactory,TPM,2022,16,1,24,0,Y,2,,,,16,2,2022
Technical Teardown,CENPRO-27252,"Prod2 Technical Teardown - SaaS Central: SaaS Central: Budget Process - 27252",DevFactory,SaaS Central,2022,28,0,67,0,Y,3,,,,28,3,2022
Technical Teardown,CENPRO-27563,"Prod2 Technical Teardown - DevFactory: Education Platform: Star Reading - 27563",DevFactory,DevFactory,2022,28,0,14,0,Y,3,,,,28,3,2022
New,CENPRO-26654,"Prod2 New - Central Core: ALP: ALP 2.0 - assembly lines of chained work units - 26654",DevFactory,Central Core,2022,4,2,23,0,Y,1,,,,4,1,2022
New,CENPRO-26653,"Prod2 New - Central Core: ALP: ALP 2.0 - dashboards and reporting - 26653",DevFactory,Central Core,2022,12,2,78,2,N,1,,,,12,1,2022
Cost Optimization,CENPRO-12525,"CO2 Cost Optimization - DevFactory: Cost Optimization Product: Network - VPC - 12525",DevFactory,DevFactory,2020,48,0,82,0,Y,4,,,,48,4,2020
Cost Reduction,CENPRO-26783,"Prod2 Cost Reduction - Ignite: BryterCX: BryterCX - 26783",Ignite,Ignite,2022,7,0,17,0,Y,1,,,,7,1,2022
New,CENPRO-23738,"Prod2 New - DevFactory: Education Platform: Math App using AlgebraKit - 23738",DevFactory,DevFactory,2021,37,1,38,0,Y,3,,,,37,3,2021
WU Design,CENPRO-27507,"Prod2 WU Design - DevFactory: Central Process: FS - Clarify Spec - 27507",DevFactory,DevFactory,2022,27,0,19,0,Y,3,,,,27,3,2022
WU Design,CENPRO-27570,"Prod2 WU Design - DevFactory: Central Process: Engg Maintenance - Definition WU - 27570",DevFactory,DevFactory,2022,27,0,8,0,Y,3,,,,27,3,2022
WU Design,CENPRO-27230,"Prod2 WU Design - DevFactory: Central Process: Tech SME Interview Prep - 27230",DevFactory,DevFactory,2022,27,0,68,2,N,3,,,,27,3,2022
WU Design,CENPRO-27504,"Prod2 WU Design - DevFactory: Central Process: Build Feature - 27504",DevFactory,DevFactory,2022,27,0,19,1,N,3,,,,27,3,2022
WU Design,CENPRO-27571,"Prod2 WU Design - DevFactory: Central Process: Engg Maintenance - Fix WU - 27571",DevFactory,DevFactory,2022,27,0,8,0,Y,3,,,,27,3,2022
WU Design,CENPRO-27572,"Prod2 WU Design - DevFactory: Central Process: Engg Maintenance - Deploy WU - 27572",DevFactory,DevFactory,2022,27,0,8,0,Y,3,,,,27,3,2022
WU Design,CENPRO-27364,"Prod2 WU Design - DevFactory: ALP Process: PS - Final Assembly - 27364",DevFactory,DevFactory,2022,27,0,47,0,Y,3,,,,27,3,2022
WU Design,CENPRO-23883,"Prod2 WU Design - DevFactory: Central Process: Edge Overview - WU - 23883",DevFactory,DevFactory,2021,36,2,30,0,Y,3,27,3,2022,27,3,2022
WU Design,CENPRO-24220,"Prod2 WU Design - DevFactory: Central Process: Background - WU - 24220",DevFactory,DevFactory,2021,39,2,42,0,Y,3,24,2,2022,24,2,2022
WU Design,CENPRO-26856,"Prod2 WU Design - DevFactory: Central Process: CC - AWS Cost Anomaly Deep Dive - 26856",DevFactory,DevFactory,2022,19,1,99,0,Y,2,,,,19,2,2022
Product Vision,CENPRO-12029,"Prod3 Product Vision - DevFactory: Cost Optimization Product: CloudFix Roadmap - 12029",DevFactory,DevFactory,2021,11,0,225,0,Y,1,,,,11,1,2021
Functional Spec,CENPRO-27232,"Prod2 Functional Spec - CNU: DevFlows: Adapters built as subflows - 27232",DevFactory,CNU,2022,27,0,67,1,N,3,,,,27,3,2022
Change,CENPRO-24948,"Prod2 Change - DF 3rd Party: CloudCRM: Quicksight on CloudCRM - 24948",DevFactory,DF 3rd Party,2021,42,1,46,0,Y,4,27,3,2022,27,3,2022
Code Level Cost Reduction,CENPRO-27381,"Prod2 Code Level Cost Reduction - SaaS Central: SaaS Central: Consolidate ResponseTek self-hosted databases to Central - 27381",DevFactory,SaaS Central,2022,27,0,41,0,Y,3,,,,27,3,2022
Functional Spec,CENPRO-27386,"Prod2 Functional Spec - TPM: TPM:  Spec Ordering Portal - 27386",DevFactory,TPM,2022,27,0,41,2,N,3,,,,27,3,2022
Functional Spec,CENPRO-27331,"Prod2 Functional Spec - Kayako: Kayako TNK: Improve TNK Monitoring - 27331",Think3,Kayako,2022,26,0,48,0,Y,2,,,,26,2,2022
Code Level Cost Reduction,CENPRO-22830,"Prod2 Code Level Cost Reduction - Central Core: Other: VPC/Transit Gateway cost reduction (focused on Kayako) - 22830",DevFactory,Central Core,2022,5,0,198,1,N,1,,,,5,1,2022
Change,CENPRO-23579,"Prod2 Change - DF 3rd Party: CloudCRM: Sync ACRM connector to CloudCRM - 23579",DevFactory,DF 3rd Party,2022,5,0,175,0,Y,1,,,,5,1,2022
Change,CENPRO-21031,"Prod2 Change - Kerio: Control: Kerio Control Multi-threading - 21031",Aurea SMB,Kerio,2021,36,0,95,0,Y,3,,,,36,3,2021
Change,CENPRO-25848,"Prod2 Change - NewNet: Lithium: "SMS over Diameter" enhancements for NewNet Lithium - 25848",ZephyrTel,NewNet,2021,45,0,38,0,Y,4,,,,45,4,2021
Change,CENPRO-20246,"Prod2 Change - DF 3rd Party: CloudCRM: Flow to connect Salesforce to CloudCRM - 20246",DevFactory,DF 3rd Party,2021,22,2,19,0,Y,2,,,,22,2,2021
Change,CENPRO-16082,"Prod2 Change - School Loop: School Loop: Make application stateless and simplify request routing to enable autoscaling - 16082",Think3,School Loop,2021,7,2,41,0,Y,1,19,2,2022,19,2,2022
Change,CENPRO-23593,"Prod2 Change - DF 3rd Party: CloudCRM: Sync Pivotal connector to CloudCRM - 23593",DevFactory,DF 3rd Party,2022,4,1,174,0,Y,1,,,,4,1,2022
Code Level Cost Reduction,CENPRO-26466,"Prod2 Code Level Cost Reduction - SaaS Central: SaaS Central: Consolidate non-Central RDS databases to Central - 26466",DevFactory,SaaS Central,2021,50,0,34,1,N,4,,,,50,4,2021
Change,CENPRO-16308,"Prod2 Change - AMS: M1.AlertFind: Rearchitect the product to move off of the Central Docker - 16308",Aurea Enterprise,AMS,2021,6,0,31,0,Y,1,,,,6,1,2021
Change,CENPRO-26471,"Prod2 Change - Crossover: XO.HireManage: Build profiles - 26471",Crossover,Crossover,2022,11,1,125,1,N,1,,,,11,1,2022
Change,CENPRO-11813,"Prod2 Change - Sococo: Sococo: Cisco Webex Integration - 11813",Crossover,Sococo,2020,42,1,80,0,Y,4,18,2,2022,18,2,2022
New,CENPRO-26930,"Prod2 New - DevFactory: Education Platform: Motivational Platform API - 26930",DevFactory,DevFactory,2022,16,1,58,0,Y,2,,,,16,2,2022
New,CENPRO-19520,"Prod2 New - DevFactory: Education Platform: Create NewsELA.com clone - 19520",DevFactory,DevFactory,2021,36,0,139,0,Y,3,,,,36,3,2021
Cost Optimization,CENPRO-27093,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - S3 Intelligent Tiering - 27093",DevFactory,DevFactory,2022,18,0,38,0,Y,2,,,,18,2,2022
Change,CENPRO-26849,"Prod2 Change - CNU: DevFlows: Re-working data transformation - 26849",DevFactory,CNU,2022,16,0,76,0,Y,2,,,,16,2,2022
New,CENPRO-24506,"Prod2 New - CNU: DevFlows: REST API Adapter - 24506",DevFactory,CNU,2022,16,1,237,0,Y,2,,,,16,2,2022
Change,CENPRO-21154,"Prod2 Change - CNU: DevFlows: Ensure http requests to DevFlows are handled under load - 21154",DevFactory,CNU,2021,24,1,10,0,Y,2,6,1,2022,6,1,2022
Change,CENPRO-26781,"Prod2 Change - CNU: DevFlows: Connector Profiles - 26781",DevFactory,CNU,2022,6,0,16,0,Y,1,,,,6,1,2022
New,CENPRO-26374,"Prod2 New - DF 3rd Party: Cloud Charging and Billing: Rating Enhancements - Wave 3 - 26374",DevFactory,DF 3rd Party,2022,3,1,81,1,N,1,,,,3,1,2022
Change,CENPRO-26685,"Prod2 Change - CNU: CloudFix: CloudCFO : Go to market - 26685",DevFactory,CNU,2022,5,0,25,0,Y,1,,,,5,1,2022
Change,CENPRO-27048,"Prod2 Change - DF 3rd Party: Cloud Charging and Billing: CCAB Postpaid Support - Wave 1 - 27048",DevFactory,DF 3rd Party,2022,18,1,48,0,Y,2,,,,18,2,2022
Change,CENPRO-19810,"Prod2 Change - DF 3rd Party: Cloud Charging and Billing: Dynamic Network Quota Allocation - 19810",DevFactory,DF 3rd Party,2021,40,1,161,0,Y,4,19,2,2022,19,2,2022
Cost Reduction,CENPRO-26497,"Prod2 Cost Reduction - Ignite: Ignite: Cost Reduction for IgniteTech - 26497",Ignite,Ignite,2022,18,0,167,0,Y,2,,,,18,2,2022
Change,CENPRO-24583,"Prod2 Change - Business Apps: BiznessApps: PHP Version Upgrade - 24583",Think3,Business Apps,2021,47,0,87,0,Y,4,,,,47,4,2021
New,CENPRO-27050,"Prod2 New - Crossover: XO.HireManage: Career Planning Module - 27050",Crossover,Crossover,2022,21,0,72,2,N,2,,,,21,2,2022
Change,CENPRO-27026,"Prod2 Change - Crossover: XO.HireManage: CodeSignal GCA Badge for Crossover - 27026",Crossover,Crossover,2022,20,0,67,3,N,2,,,,20,2,2022
New,CENPRO-26694,"Prod2 New - Crossover: XO.HireManage: Identity : Skills & Badges - 26694",Crossover,Crossover,2022,15,0,95,0,Y,2,,,,15,2,2022
Cost Optimization,CENPRO-27092,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - GP2 to GP3 - 27092",DevFactory,DevFactory,2022,17,1,30,0,Y,2,,,,17,2,2022
Cost Optimization,CENPRO-27040,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - CloudTrail Delete Duplicate Trails - 27040",DevFactory,DevFactory,2022,12,1,8,0,Y,1,,,,12,1,2022
Rebuild,CENPRO-26982,"Prod2 Rebuild - CNU: CloudFix: CloudFix - 26982",DevFactory,CNU,2022,13,2,24,0,Y,1,,,,13,1,2022
Change,CENPRO-26500,"Prod2 Change - CNU: CloudFix: Monitor and rollback - 26500",DevFactory,CNU,2022,9,0,95,0,Y,1,,,,9,1,2022
Rebuild,CENPRO-24230,"Prod2 Rebuild - InsideSales: Playbooks Telephony: Playbooks Telephony - 5K Rewrite - 24230",Aurea Enterprise,InsideSales,2021,34,3,6,0,Y,3,12,1,2022,12,1,2022
Change,CENPRO-7707,"Prod2 Change - Sococo: Sococo: Integrate Slack with Sococo - 7707",Crossover,Sococo,2020,16,1,122,0,Y,2,,,,16,2,2020
New,CENPRO-25489,"Prod2 New - Sococo: Sococo: Directory Service - 25489",Crossover,Sococo,2022,6,0,136,0,Y,1,,,,6,1,2022
New,CENPRO-19750,"Prod2 New - Acorn: Acorn PA5G/AAA: Acorn.AI - 19750",Ignite,Acorn,2021,50,1,224,0,Y,4,,,,50,4,2021
Code Level Cost Reduction,CENPRO-26176,"Prod2 Code Level Cost Reduction - InsideSales: Other: Move InsideSales off Azure - 26176",Aurea Enterprise,InsideSales,2021,45,0,24,0,Y,4,,,,45,4,2021
New,CENPRO-26686,"Prod2 New - DevFactory: Education Platform: History Game App MVP - 26686",DevFactory,DevFactory,2022,12,0,68,1,N,1,,,,12,1,2022
WU Design,CENPRO-27567,"Prod2 WU Design - DevFactory: Central Process: FS - Address Exec Rejection - 27567",DevFactory,DevFactory,2022,26,0,2,0,Y,2,,,,26,2,2022
Technical Teardown,CENPRO-27108,"Prod2 Technical Teardown - DevFactory: Education Platform: myON - 27108",DevFactory,DevFactory,2022,26,0,89,0,Y,2,,,,26,2,2022
Technical Teardown,CENPRO-27345,"Prod2 Technical Teardown - CNU: DevFlows: Apache Nifi - 27345",DevFactory,CNU,2022,26,0,45,1,N,2,,,,26,2,2022
Technical Teardown,CENPRO-27473,"Prod2 Technical Teardown - DevFactory: Education Platform: Edia - 27473",DevFactory,DevFactory,2022,26,0,19,0,Y,2,,,,26,2,2022
Company Technical Teardown,CENPRO-27455,"Prod2 Company Technical Teardown - Imports: Other: MetricFire - 27455",Imports,Imports,2022,26,0,21,0,Y,2,,,,26,2,2022
Cost Optimization,CENPRO-27098,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - DynamoDB Infrequent Access - 27098",DevFactory,DevFactory,2022,20,0,49,0,Y,2,,,,20,2,2022
Cost Optimization,CENPRO-27096,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - ElasticSearch Optimize Storage - 27096",DevFactory,DevFactory,2022,18,0,38,0,Y,2,,,,18,2,2022
Cost Reduction,CENPRO-26496,"Prod2 Cost Reduction - TU: TU: Cost reduction for TU - 26496",DevFactory,TU,2022,19,0,169,0,Y,2,,,,19,2,2022
Technical Teardown,CENPRO-27106,"Prod2 Technical Teardown - DevFactory: Education Platform: Quizizz - 27106",DevFactory,DevFactory,2022,26,0,85,0,Y,2,,,,26,2,2022
Company Technical Teardown,CENPRO-27483,"Prod2 Company Technical Teardown - Imports: Other: Hitachi ID - 27483",Imports,Imports,2022,26,0,9,0,Y,2,,,,26,2,2022
WU Design,CENPRO-27424,"Prod2 WU Design - TPM: TPM: Coaching Deep Dive - 27424",DevFactory,TPM,2022,25,0,23,0,Y,2,,,,25,2,2022
WU Design,CENPRO-26667,"Prod2 WU Design - DevFactory: Central Process: CR - ElasticSearch Finder - 26667",DevFactory,DevFactory,2022,4,1,22,1,N,1,26,2,2022,26,2,2022
Rebuild,CENPRO-26914,"Prod2 Rebuild - Central Engg: Central Process: Engineering Maintenance Process - 26914",DevFactory,Central Engg,2022,26,0,132,2,N,2,,,,26,2,2022
Technical Teardown,CENPRO-27107,"Prod2 Technical Teardown - DevFactory: Education Platform: Quizlet - 27107",DevFactory,DevFactory,2022,19,0,41,0,Y,2,,,,19,2,2022
Technical Teardown,CENPRO-26451,"Prod2 Technical Teardown - DevFactory: Education Platform: Brainscape - 26451",DevFactory,DevFactory,2021,47,0,18,0,Y,4,,,,47,4,2021
Functional Spec,CENPRO-27275,"Prod2 Functional Spec - DevFactory: Central Process: Moving from ALP 1.0 to 2.0 - 27275",DevFactory,DevFactory,2022,25,0,46,0,Y,2,,,,25,2,2022
WU Design,CENPRO-27500,"Prod2 WU Design - DevFactory: Central Process: FS - User Stories and Interactions - 27500",DevFactory,DevFactory,2022,25,0,6,0,Y,2,,,,25,2,2022
Code Level Cost Reduction,CENPRO-26465,"Prod2 Code Level Cost Reduction - SaaS Central: SaaS Central: Consolidate Onyx, CodeNation, DCM, and GFI self-hosted databases to Central - 26465",DevFactory,SaaS Central,2022,8,3,100,0,Y,1,,,,8,1,2022
WU Design,CENPRO-27187,"Prod2 WU Design - DevFactory: Central Process: FS - Construct - Edge - 27187",DevFactory,DevFactory,2022,19,1,21,1,N,2,,,,19,2,2022
WU Design,CENPRO-27163,"Prod2 WU Design - DevFactory: ALP Process: FS - Architect - 27163",DevFactory,DevFactory,2022,18,1,19,0,Y,2,,,,18,2,2022
WU Design,CENPRO-26689,"Prod2 WU Design - DevFactory: Central Process: CR - Logging - ElasticSearch - 26689",DevFactory,DevFactory,2022,8,1,45,1,N,1,25,2,2022,25,2,2022
WU Design,CENPRO-27042,"Prod2 WU Design - DevFactory: Central Process: CR Less Common Resources - 27042",DevFactory,DevFactory,2022,17,1,43,0,Y,2,,,,17,2,2022
WU Design,CENPRO-27184,"Prod2 WU Design - DevFactory: Central Process: FS - Construct - Filter - 27184",DevFactory,DevFactory,2022,19,1,21,1,N,2,,,,19,2,2022
Company Technical Teardown,CENPRO-27490,"Prod2 Company Technical Teardown - Imports: Other: Outlier AI - 27490",Imports,Imports,2022,25,0,5,0,Y,2,,,,25,2,2022
Change,CENPRO-13079,"Prod2 Change - GFI: LanGuard: GFI LanGuard - Scan/Patch over WAN (via Agent) - 13079",Aurea SMB,GFI,2020,51,0,82,0,Y,4,,,,51,4,2020
Change,CENPRO-15265,"Prod2 Change - Avolin: Knova: Knova Technical Debt Updates - 15265",Avolin,Avolin,2021,9,0,87,0,Y,1,,,,9,1,2021
